Error checking 135.125.190.81:8443: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
Error checking 146.103.49.178:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=146.103.49.178:2053
Error checking 57.128.178.42:8443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=57.128.178.42:8443
Error checking 89.110.107.122:443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=89.110.107.122:443
Error checking 89.110.103.15:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=89.110.103.15:2053
Error checking 46.17.98.76:443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=46.17.98.76:443
Error checking 89.110.77.192:443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=89.110.77.192:443
Error checking 70.34.244.250:53062: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=70.34.244.250:53062
Error checking 80.211.249.79:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=80.211.249.79:2053
Error checking 45.149.63.164:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=45.149.63.164:2053
Error checking 45.149.63.67:2053: 500 Server Error: Internal Server Error for url: https://api.bmkg.xyz/check?ip=45.149.63.67:2053
Error checking 95.169.162.54:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=95.169.162.54:2053
Error checking 45.142.122.152:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=45.142.122.152:2053
Error checking 2.59.165.35:443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=2.59.165.35:443
Error checking 34.166.92.121:443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=34.166.92.121:443
Error checking 91.243.51.55:443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=91.243.51.55:443
Error checking 109.120.132.127:8443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=109.120.132.127:8443
Error checking 147.45.77.117:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=147.45.77.117:2053
Error checking 172.232.150.17:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=172.232.150.17:2053
Error checking 46.226.160.203:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=46.226.160.203:2053
Error checking 78.40.117.186:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=78.40.117.186:2053
Error checking 89.22.234.21:2053: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=89.22.234.21:2053
Error checking 89.22.239.38:8443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=89.22.239.38:8443
Error checking 147.45.74.107:443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=147.45.74.107:443
Error checking 212.192.246.103:443: 502 Server Error: Bad Gateway for url: https://api.bmkg.xyz/check?ip=212.192.246.103:443
Error checking 70.34.220.58:2053: 503 Server Error: Service Temporarily Unavailable for url: https://api.bmkg.xyz/check?ip=70.34.220.58:2053
